gene_id
AT1G01580
AT1G02670
AT1G03010
AT1G04610
AT1G05950
AT1G06160
AT1G06420
AT1G07050
AT1G08630
AT1G10370
AT1G13530
AT1G15010
AT1G15190
AT1G17345
AT1G18330
AT1G18773
AT1G19670
AT1G21110
AT1G25560
AT1G26380
AT1G26390
AT1G29395
AT1G30282
AT1G30730
AT1G31040
AT1G32080
AT1G33790
AT1G34670
AT1G35140
AT1G35560
AT1G47270
AT1G47395
AT1G49210
AT1G49230
AT1G52000
AT1G55990
AT1G56320
AT1G58235
AT1G62770
AT1G64780
AT1G65570
AT1G66180
AT1G66800
AT1G68050
AT1G68850
AT1G70850
AT1G74460
AT1G76680
AT1G78230
AT1G78450
AT2G01520
AT2G14247
AT2G15880
AT2G16280
AT2G16630
AT2G17880
AT2G18050
AT2G19810
AT2G19970
AT2G20670
AT2G21210
AT2G25000
AT2G26070
AT2G26215
AT2G28570
AT2G35380
AT2G35980
AT2G40370
AT2G40460
AT2G40670
AT2G41230
AT2G41312
AT2G42170
AT2G44080
AT2G48130
AT2G48140
AT3G02620
AT3G02640
AT3G06145
AT3G10985
AT3G11430
AT3G14230
AT3G15620
AT3G16120
AT3G16530
AT3G17640
AT3G18400
AT3G19200
AT3G20395
AT3G20420
AT3G20940
AT3G21352
AT3G21420
AT3G21670
AT3G23510
AT3G23635
AT3G23880
AT3G25130
AT3G28770
AT3G29250
AT3G44770
AT3G45730
AT3G46110
AT3G48280
AT3G48450
AT3G48490
AT3G49160
AT3G50400
AT3G50770
AT3G50970
AT3G53232
AT3G53540
AT3G53680
AT3G55760
AT3G56060
AT3G56970
AT3G57020
AT3G60530
AT3G60930
AT3G61220
AT3G61970
AT3G62950
AT4G01630
AT4G02630
AT4G04630
AT4G08950
AT4G09500
AT4G12550
AT4G15160
AT4G15490
AT4G15670
AT4G15700
AT4G18270
AT4G19690
AT4G20230
AT4G21400
AT4G21410
AT4G21745
AT4G22200
AT4G23170
AT4G23240
AT4G23250
AT4G24040
AT4G24050
AT4G24660
AT4G25420
AT4G28250
AT4G28940
AT4G29930
AT4G30650
AT4G31290
AT4G31970
AT4G32295
AT4G33610
AT4G35770
AT4G36610
AT4G36740
AT4G36850
AT4G37410
AT4G37700
AT4G37770
AT4G38080
AT4G39800
AT5G01215
AT5G01870
AT5G02840
AT5G03310
AT5G03730
AT5G05250
AT5G05270
AT5G05420
AT5G05860
AT5G05880
AT5G09480
AT5G09520
AT5G09530
AT5G10120
AT5G11260
AT5G11610
AT5G13930
AT5G14840
AT5G15950
AT5G19250
AT5G20630
AT5G23190
AT5G23700
AT5G23840
AT5G24105
AT5G24770
AT5G37690
AT5G39610
AT5G40100
AT5G42650
AT5G43250
AT5G44568
AT5G44580
AT5G45700
AT5G45950
AT5G47220
AT5G47990
AT5G48540
AT5G49700
AT5G51810
AT5G52320
AT5G53160
AT5G53420
AT5G57220
AT5G58860
AT5G60890
AT5G64572
AT5G67060
